comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward
27,1678.17821138784,10.9166123056512,76.8635069379123,2.29186273576712e-08,5.10505172869234e-13,2.27608706681902e-08,2.79350522286975e-08,4.535065434377e-13,2.79304271440158e-08,0.501721170697695,0.500037335616925
28,1682.25871452866,23.286273082574,36.1212528205632,2.10204652283493e-08,1.6028919061714e-08,2.1161985116914e-08,2.91464083714458e-08,1.31974086777942e-08,3.02460045910865e-08,0.361105836239437,0.401521972541311
29,1683.06984144479,21.7804140515913,38.6372324570622,9.26490713470909e-09,1.98868686941912e-12,8.87583649292035e-09,1.25979458624553e-08,2.55880589866302e-13,1.27629579165576e-08,0.510667686327764,0.496741711796496
30,1685.40740653034,31.2869217498403,26.9346952699004,5.40249144154832e-09,4.72900703056718e-09,5.59881040053869e-09,9.37613148675077e-09,4.13365141801435e-09,8.87764013565778e-09,0.343444714613334,0.418812449732207
31,1685.7160524647,31.1713961834092,27.0394698162721,1.72038256884256e-09,6.01772192131279e-12,1.43383656100325e-09,2.5042550804447e-09,4.40777952192981e-12,2.98886983645972e-09,0.544384060289837,0.455523453652687
32,1691.83914239452,39.4675740764821,21.4332801291004,2.32536214631178e-09,2.87078629642696e-12,2.24554894074628e-09,4.27104956632236e-09,7.22065226279927e-13,4.02220815651517e-09,0.508411247125418,0.514957797759405
33,1692.06346886954,40.4572114052231,20.9117659138896,1.1413721315382e-08,1.06273796026439e-08,1.14060293430205e-08,1.93387739964695e-08,7.08249570221024e-09,1.95282962332479e-08,0.341246654834086,0.420869568716255
34,1696.45800580698,51.4543029113664,16.4850936638792,4.33506663615146e-09,5.00785595016485e-09,4.46481477752301e-09,1.01374057938569e-08,3.537592506845e-09,9.2914937386599e-09,0.313959233284987,0.441399834876072
35,1696.70350865522,51.1986627614964,16.5698029708231,6.96207917455545e-10,1.9960531570677e-11,3.84742501674517e-10,1.06437444125115e-09,1.32884447118711e-11,1.80517501969644e-09,0.632392580900756,0.369210644539402
36,1703.89519226423,60.2005535206131,14.1518233024286,6.4492303591266e-10,1.07083073354872e-11,8.46457857712921e-10,2.20643407354575e-09,7.17699602444541e-12,1.4157337111631e-09,0.429350690691355,0.60794281250401
