comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,po9_real,po9_imag,po10_real,po10_imag,po11_real,po11_imag,po12_real,po12_imag,po13_real,po13_imag,po14_real,po14_imag,po15_real,po15_imag,po16_real,po16_imag
21,1668.65815444543,0.646456493279185,1290.61906856335,8.81597060740018e-14,9.6709276082983e-09,2.92487321807019e-13,4.31716071353302e-13,7.95556670195642e-09,7.45572993085458e-14,9.11559261131507e-06,0.999960641619745,3.02427876441576e-05,5.4262457457607e-05,0.999936366424462,9.37111808045988e-06,-1.4877533704357,-0.194825688964875,1.50595381558494,0.168580826352402,-1.48784429711433,-0.19501050649646,1.50567338325238,0.168432833302351,-1.68996504568468,-0.258920953123643,1.70642400159501,0.234925169370973,-1.68989387963212,-0.258608385300854,1.70667437625156,0.235082342592003
22,1671.34564679514,6.36537299629035,131.284187727033,1.01874970555044e-13,3.40625194383606e-08,9.15918900253308e-14,2.20505067301664e-14,3.49617850140463e-08,6.46934622190863e-15,2.99080612981442e-06,0.999994320274456,2.68891941402857e-06,6.30702600961648e-07,0.999999184257049,1.85040350256313e-07,1.59765609570713,0.585902258240015,-1.58011345501768,-0.528558899937769,1.5979190598783,0.585901676180359,-1.58017170697618,-0.52855143390931,-0.875330096757284,-0.431574829652138,0.85690672407104,0.373613404355539,-0.875365509900459,-0.431595272665967,0.856925194225454,0.37370661959529
23,1671.36918332475,6.33107358450178,131.997295641627,1.25292784456462e-13,5.62484998496793e-08,6.32974867689837e-14,4.52111075355131e-15,5.77718259914538e-08,4.04141500979045e-14,2.22747921651935e-06,0.999996647205891,1.12531489221403e-06,7.82579944361932e-08,0.999999222194813,6.9954719225159e-07,-1.61165324557927,-0.384723803318329,1.68264943788578,0.354412108536627,-1.61190423129051,-0.384672481032376,1.68269470990103,0.354356506122798,-0.867350445377919,-0.335657891551491,0.938889886708603,0.304368414699985,-0.867295862980817,-0.335758686066325,0.938933705106277,0.304410879377423
24,1671.39594749049,6.00115811217681,139.256116590154,1.65053765534154e-14,6.17802579252352e-09,2.84067249764383e-15,5.63235504777434e-14,3.8488810570199e-09,1.32245856869934e-14,2.67161799294153e-06,0.999996868580819,4.59801188552042e-07,1.46334822801551e-05,0.999981930623877,3.43589384318878e-06,-1.75574861090785,0.492831590369212,1.74656176637453,-0.469027284386778,-1.75574988006844,0.492865327555463,1.74648517340332,-0.469011369250375,2.23860812727416,-0.457335243573887,-2.24124770265943,0.437313158315638,2.23845728179857,-0.45731510490502,-2.24125127830792,0.437367242987263
25,1671.5419820552,5.65021207085068,147.918517136609,2.59536076262321e-14,2.85100056571102e-08,2.41365560709151e-14,6.51511015205602e-14,1.17310293298589e-08,1.98912169461508e-15,9.10331703883593e-07,0.9999982430703,8.46597996330575e-07,5.55370946669098e-06,0.999994276730791,1.6955974232144e-07,-1.76005022523602,0.159382495094624,1.7190263104845,-0.195850365747663,-1.76010806648313,0.159446764664767,1.71895225753568,-0.195773976574302,-2.18067168641071,0.138475388282999,2.14739430070687,-0.150177132128798,-2.18054624805433,0.138496547252755,2.14742778661123,-0.150265953508458
26,1676.08603444147,106.595246990881,7.86191730755525,2.2149674109885e-12,8.69543683682576e-05,5.55966214308819e-13,1.28883517608963e-12,8.70715284803069e-05,3.97457555506673e-13,2.54727552159847e-08,0.999999968133475,6.39376959461719e-09,1.48020274092303e-08,0.999999980633248,4.56472459765198e-09,0.707003852388378,1.35360394402706,0.686470563075217,1.34527032978582,0.707824990424452,1.35340515132507,0.686132771347576,1.34573144148126,0.705497033674611,1.34937122234544,0.694412138953042,1.34855900405634,0.705053465239801,1.34973696047162,0.694957539033785,1.34848660717709
27,1676.74702818993,17.5806267662835,47.6873506980317,1.26985652343649e-13,5.97827570311526e-08,1.44985172675482e-13,5.93767733639638e-15,5.99040891358947e-08,1.25756439628676e-14,2.12410870548978e-06,0.99999545070182,2.42518947426845e-06,9.91197026281735e-08,0.999999690950721,2.09929576724647e-07,1.74800155268148,-0.367047794103824,-1.6982311457935,0.429026013410945,1.74825304088788,-0.367215534140537,-1.69832205653963,0.42907324471958,-1.05688929490886,0.184636521669129,1.00708665309268,-0.246725074159618,-1.05689899379686,0.184604393011252,1.00714136653126,-0.246672016673474
28,1676.75248464041,17.4202542571584,48.1265215733401,1.61345257691054e-13,1.31549291726696e-07,1.88015620157631e-13,3.36625941169783e-14,1.32290993317053e-07,5.78679621506844e-14,1.22649713337982e-06,0.999997344265823,1.42923704392677e-06,2.5445852345799e-07,0.999999308112437,4.37429039283673e-07,-1.83526199861091,-0.216126074433594,1.94808233813959,0.181433070902067,-1.8355874866886,-0.216013918494866,1.94819121906432,0.181410899951185,-1.04228650569512,-0.161402556184189,1.15533106353351,0.126969750771497,-1.04215793154878,-0.16153177078732,1.15533389133154,0.127002169301525
29,1676.90307243655,16.5364163651731,50.7033396899778,2.7598089539712e-14,9.58859651092788e-09,4.35120112435577e-15,3.2318349200876e-14,8.51540176170459e-09,1.68808463907069e-14,2.87821033573377e-06,0.99999666800202,4.53787644646792e-07,3.79525985755422e-06,0.999994222361703,1.98237843987565e-06,-0.767757317397007,1.54363168890208,0.789641076327531,-1.52057480183629,-0.767719575433104,1.5436578454075,0.78961129895995,-1.52048008125899,1.07802000756256,-2.03058669661834,-1.1079119167134,2.02797824332797,1.07799831776943,-2.0304571459384,-1.10789454635852,2.02800779105277
30,1677.40415179825,15.1413596102825,55.3914640089228,2.93243068299688e-14,6.51496885019212e-08,8.5796970029374e-15,1.09245349970059e-14,5.44341488954213e-08,8.3631094026529e-15,4.5010636955341e-07,0.999999418201642,1.31691988228474e-07,2.00692604693911e-07,0.999999645670265,1.53637130534028e-07,-0.542707305637843,1.58171966773958,0.480923033315981,-1.52632615265276,-0.542651880551687,1.58174563612554,0.480968669679952,-1.52623468524159,-0.683749831425312,2.00249584937895,0.658387008123163,-1.93095630881633,-0.683759035195971,2.00243049019945,0.658372415355533,-1.93100782435302
