% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_辐射_purcell.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jun 27 2026, 20:07
% Table:              表格 64 {tbl64} - 全局计算 6 {gev6}
% freq (Hz)              Ez1/(1e-4[W]) (1)        Ez0/(1e-4[W]) (1)        Ez_1/(1e-4[W]) (1)       Ef1/(1e-4[W]) (1)        Ef0/(1e-4[W]) (1)        Ef_1/(1e-4[W]) (1)
2643.5                   6.689157855018233        6.41653486668613         15.913957407816588       48.6172873634216         1.2297428356664004       2.7414559098263385
2644.5                   6.168092139776292        6.466708319582658        15.94615025555284        47.49091301060368        1.1851646295424199       2.8173508539056233
2645.5                   5.693859287125814        6.512231772746042        15.967855049902198       46.39829323071162        1.142436615955543        2.8918201398374106
2646.5                   5.26314903267302         6.553277912451652        15.979764374039068       45.33834346350768        1.1014752179930154       2.9648141870644262
2647.5                   4.872884585728948        6.590018298698574        15.982544928208558       44.31001573817114        1.0622014946993041       3.0362887181234974
2648.5                   4.520204859149476        6.622622696270394        15.976837419532705       43.312298667645166       1.0245408011975954       3.106204731743853
2649.5                   4.202448137489018        6.651258522830854        15.963256559989428       42.344216964993024       0.9884224737309286       3.1745284519865216
2650.5                   3.9171370850099763       6.676090395106601        15.94239115922708        41.40483061000799        0.9537795392694749       3.2412312529310445
2651.5                   3.6619649938436316       6.697279757112041        15.914804300842835       40.49323376741699        0.9205484488400495       3.306289559006293
2652.5                   3.4347831744856228       6.7149845775767165       15.881033593669002       39.60855353989012        0.8886688335585197       3.369684721957066
