theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index,Forward,Backward
64,1704.95058121442,3.64097873675211,234.133553706949,0.0170790314963264,0.980717536377863,0.00220343212581048,0.0127678904804984,0.980389370954515,0.0068427385649867,1,0.0170790314963264,0.0127678904804984
65,1710.90498787526,3.88441780599581,220.226694620026,0.0409142808392285,0.894118871736121,0.0649668474246503,0.0163742743024253,0.95520581928896,0.028419906408615,1,0.0409142808392285,0.0163742743024253
66,1714.4531371375,3.78279232752787,226.612114635689,0.00418221752990306,0.992997552532356,0.0028202299377405,0.00725638798591763,0.9845567326889,0.0081868793251823,1,0.00418221752990306,0.00725638798591763
67,1715.81408716761,4.76014373624234,180.227129918777,0.0015560459513625,0.997392927767809,0.00105102628082873,0.00435541465026421,0.993003826011607,0.00264075933812846,1,0.0015560459513625,0.00435541465026421
68,1721.29574071652,63.7520273795006,13.4999294255385,0.513679449428439,1.61289664826284e-05,0.486304421605078,0.475781304449961,9.50617538877831e-06,0.524209189374651,1,0.513679449428439,0.475781304449961
69,1747.1118331021,2.16630491290574,403.24698122912,0.0531439273079215,0.938379468152741,0.00847660453933778,0.0055052095891535,0.98905931306262,0.00543547734822636,1,0.0531439273079215,0.0055052095891535
70,1768.10407276969,6.23281688271237,141.838281634247,0.0564380637907003,0.881977077862025,0.0615848583472746,0.0948772747139076,0.862254431383701,0.0428682939023916,1,0.0564380637907003,0.0948772747139076
71,1776.65657892188,10.3385602992254,85.9237905230863,0.0107321987787627,0.987743347291087,0.00152445393015001,0.0184804605585852,0.97032567117296,0.0111938682684552,1,0.0107321987787627,0.0184804605585852
72,1777.04655425586,11.8598553711362,74.918559233898,0.0100629845995166,0.984929240715132,0.00500777468535164,0.00514699890479712,0.987999197975645,0.00685380311955776,1,0.0100629845995166,0.00514699890479712
73,1783.65614845315,43.190736515686,20.648596115111,4.17987045951806e-05,0.999951198569695,7.00272570925229e-06,5.53135917319777e-05,0.999770586398317,0.000174100009950978,1,4.17987045951806e-05,5.53135917319777e-05
74,1785.73528926008,19.1734963544437,46.5678052726729,0.217589883295479,0.778095713056251,0.00431440364826923,0.0193788466805843,0.760210037136743,0.220411116182673,1,0.217589883295479,0.0193788466805843
75,1795.23704938947,249.710759017323,3.59463295945715,0.759481703602045,1.02338305809976e-05,0.240508062567374,0.365519638659246,4.61273208736039e-06,0.634475748608666,1,0.759481703602045,0.365519638659246
76,1800.6608668428,20.083427723182,44.8295204300292,0.0282733805660774,0.696926233969899,0.274800385464024,0.0330043110938246,0.926133447873329,0.0408622410328459,1,0.0282733805660774,0.0330043110938246
77,1805.15283796396,241.184765449148,3.74226132111268,0.731224411819616,2.46460261310103e-06,0.268773123577771,0.72536608721068,1.91307489338895e-05,0.274614782040386,1,0.731224411819616,0.72536608721068
78,1812.73708978727,18.1696302700726,49.8837087723533,0.0297949540427455,0.964390468897645,0.00581457705960898,0.0194455239546943,0.978760176203839,0.00179429984146699,1,0.0297949540427455,0.0194455239546943
79,1814.64300914145,74.1211834888038,12.2410552808803,0.685176539531151,6.2340322012614e-06,0.314817226436648,0.681418207372975,3.4344854194043e-05,0.318547447772831,1,0.685176539531151,0.681418207372975
80,1817.22631702589,17.2683202129986,52.6173447854525,0.0134322565551432,0.986180386250701,0.000387357194156274,0.00143209324938085,0.991552417882224,0.00701548886839503,1,0.0134322565551432,0.00143209324938085
81,1817.81328389482,246.949817240575,3.68053174569458,0.716991745823859,6.95993412276209e-06,0.283001294242018,0.903039782652964,1.7896380240941e-05,0.0969423209667952,1,0.716991745823859,0.903039782652964
82,1822.87432777255,83.0116477287225,10.97962983297,0.68830454390092,1.25190166588044e-05,0.311682937082421,0.739772955455578,2.13001452803801e-05,0.260205744399142,1,0.68830454390092,0.739772955455578
83,1823.3673127148,241.111036711893,3.78117762168965,0.569192084549104,1.52887105356063e-05,0.43079262674036,0.692581181505106,2.86558828275675e-05,0.307390162612066,1,0.569192084549104,0.692581181505106
84,1837.81205261737,9.13127849972637,100.632789410182,0.0281492021592887,0.958859959939497,0.0129908379012147,0.0145559403344202,0.979293520925139,0.00615053874044043,1,0.0281492021592887,0.0145559403344202
85,1838.81735609415,98.4761229444213,9.33636145043989,0.430467540046783,1.30989647272907e-06,0.569531150056745,0.564302166000926,5.94976947322604e-05,0.435638336304342,1,0.430467540046783,0.564302166000926
86,1880.94633712861,8.33665300801439,112.811840394483,0.00162012718321253,0.99675595947587,0.00162391334091769,0.000980274119950227,0.998193628858345,0.000826097021705116,1,0.00162012718321253,0.000980274119950227
87,1894.74076972554,11.0401677551268,85.8112309410181,0.00215982854179102,0.996184233740023,0.00165593771818653,0.00105729928803934,0.997181253697229,0.00176144701473147,1,0.00215982854179102,0.00105729928803934
88,1918.46869805887,100.67233406198,9.52828160752559,0.582049760654015,2.179960695254e-05,0.417928439739033,0.431525864597428,1.88942102251371e-05,0.568455241192347,1,0.582049760654015,0.431525864597428
89,1922.39433134582,10.0044739584109,96.0767322368624,0.0109286564140809,0.953998175083325,0.0350731685025939,0.222477807040658,0.66592865165931,0.111593541300033,1,0.0109286564140809,0.222477807040658
90,1936.68267937961,26.0941495481522,37.1095190476662,0.000361331439705369,0.998397418378878,0.00124125018141705,1.54720242898295e-05,0.999722607778341,0.000261920197369122,1,0.000361331439705369,1.54720242898295e-05
91,1936.81382224208,16.8260282459549,57.5540999316847,0.272035552064127,0.207184279428145,0.520780168507727,0.515203879312756,0.444552030180145,0.0402440905070994,1,0.272035552064127,0.515203879312756
92,1955.27772506665,85.9858447524767,11.3697651671343,0.599333610349715,6.1775881557643e-06,0.400660212062129,0.519489165633877,7.31056029720701e-05,0.480437728763151,1,0.599333610349715,0.519489165633877
93,1957.76312719554,26.9828842000626,36.2778699393261,0.000891455748791429,0.996741714160882,0.00236683009032707,0.000320793630551635,0.998707297945375,0.000971908424073868,1,0.000891455748791429,0.000320793630551635
94,1958.50612871044,336.761451802802,2.90785379120126,0.80800858023534,2.36612054777016e-05,0.191967758559182,0.375504661533876,6.93097829747245e-06,0.624488407487827,1,0.80800858023534,0.375504661533876
95,1962.35673873679,35.1940887065883,27.8790673498734,0.00259929184096118,0.986102336263835,0.0112983718952041,0.00879542507581188,0.979728847816692,0.0114757271074965,1,0.00259929184096118,0.00879542507581188
96,1969.0813817431,337.113422927261,2.92050278604298,0.461876936149914,7.51550185724833e-06,0.538115548348229,0.796996386701477,3.91250573814596e-05,0.202964488241142,1,0.461876936149914,0.796996386701477
97,1978.31881386931,39.3211752570011,25.1558962942884,0.561567773441601,0.426380501700047,0.0120517248583512,0.470646560212747,0.441316821013888,0.0880366187733649,1,0.561567773441601,0.470646560212747
98,1982.3931272705,35.5413710432623,27.8885291855716,0.222449788274422,0.253309104038465,0.524241107687113,0.440280326934363,0.376920288410955,0.182799384654682,1,0.222449788274422,0.440280326934363
99,1984.31751360059,333.429623694421,2.97561670078115,0.712837841255167,2.21002531875984e-05,0.287140058491645,0.0639280497288397,4.69400775287608e-05,0.936025010193631,1,0.712837841255167,0.0639280497288397
100,1985.23888903273,33.0717863149974,30.0140861779285,0.00605090639428034,0.94500984816446,0.0489392454412594,0.0813425089734912,0.892153965336925,0.0265035256895831,1,0.00605090639428034,0.0813425089734912
101,1990.77175940996,333.44145796701,2.98518932160937,0.589148456509885,2.51351991360682e-05,0.410826408290979,0.701539181185265,7.60017461571815e-05,0.298384817068578,1,0.589148456509885,0.701539181185265
102,2002.21232680277,102.373705392573,9.77893844481297,0.632622930311203,4.48969324650552e-05,0.367332172756332,0.483738014171213,3.72906394438475e-05,0.516224695189343,1,0.632622930311203,0.483738014171213
103,2018.26937561621,98.2943747007338,10.2664541168353,0.532806816314844,3.05306873703662e-05,0.467162652997786,0.424305897527896,9.71023825054756e-05,0.575597000089598,1,0.532806816314844,0.424305897527896
104,2036.79200303436,14.1067618184872,72.1920462414382,0.00976156490925236,0.912842863000888,0.0773955720898592,0.0731197694799155,0.90470682474923,0.0221734057708544,1,0.00976156490925236,0.0731197694799155
105,2071.65047316662,39.646464103474,26.1265477264225,8.54886540132497e-05,0.999885100359307,2.94109866797487e-05,1.33512126417041e-05,0.999862412974578,0.000124235812780253,1,8.54886540132497e-05,1.33512126417041e-05
106,2093.81168576657,89.0133948491338,11.7612168894092,0.560663701919832,0.000100714850329142,0.439235583229839,0.461027186575064,4.03538936770343e-05,0.538932459531259,1,0.560663701919832,0.461027186575064
107,2094.23131426105,9.88626962230261,105.916154134449,0.00864996442612169,0.979859872450362,0.0114901631235167,0.0129342961259591,0.985849017012647,0.00121668686139356,1,0.00864996442612169,0.0129342961259591
