solution_index,comsol_tvb_root,comsol_MAC,matlab_no_loss_index,matlab_tvb_index,matlab_MAC,comsol_no_loss_real_Hz,comsol_no_loss_imag_Hz,comsol_tvb_real_Hz,comsol_tvb_imag_Hz,matlab_no_loss_real_Hz,matlab_no_loss_imag_Hz,matlab_tvb_real_Hz,matlab_tvb_imag_Hz,comsol_loss_increment_Hz,matlab_loss_increment_Hz,no_loss_real_relative_error,tvb_real_relative_error,tvb_imag_absolute_error_Hz,loss_increment_absolute_error_Hz,loss_increment_relative_error,meaningful_loss,loss_within_10pct
34,77,1,64,64,0.999100279132177,1686.4792544583,28.880735164896,1696.45800580686,51.4543029113104,1705.65259757526,2.70004785171177,1704.95058121442,3.64097873675164,22.5735677464144,0.940930885039875,0.0113688579721763,0.0050060628547776,47.8133241745588,21.6326368613745,0.958317139071234,1,0
35,78,1,65,65,0.999800698124054,1695.52952330473,55.4622803876531,1696.70350865517,51.1986627615383,1711.50960816601,3.05992660180798,1710.90498787526,3.8844178059959,-4.2636176261148,0.824491204187925,0.00942483433147895,0.00837004175900531,47.3142449555424,5.08810883030273,1.19337831777829,1,0
36,79,1,66,66,0.999837916164786,1695.81530588029,55.8700757023366,1703.8951922641,60.2005535206294,1715.04198539333,2.94915004999374,1714.4531371375,3.78279232752723,4.3304778182928,0.833642277533495,0.0113377202377958,0.00619635815708327,56.4177611931022,3.4968355407593,0.807494158263085,1,0
37,80,1,67,67,0.999818000252051,1696.12174008008,52.8142788433386,1704.56224746431,60.5565024897721,1716.38909919989,3.94416882594244,1715.81408716761,4.76014373624142,7.7422236464335,0.815974910298977,0.0119492360960216,0.00660101426042718,55.7963587535307,6.92624873613452,0.894607163579567,1,0
38,81,1,68,68,0.999942158650226,1699.69740668137,47.7943517545619,1711.31713327281,89.4274304532164,1722.17575633875,63.0247579130513,1721.29574071652,63.7520273795008,41.6330786986545,0.727269466449556,0.0132249126044571,0.00583095163935233,25.6754030737156,40.9058092322049,0.982531451211821,1,0
39,82,1,69,69,0.999827642628123,1707.66761270323,86.6986560640645,1711.53061649499,89.3772021308661,1747.94175734961,1.36764640128303,1747.1118331021,2.16630491290729,2.6785460668016,0.798658511624265,0.0235842996299647,0.0207891207228136,87.2108972179588,1.87988755517734,0.701831332481831,1,0
40,83,1,70,70,0.999862513035418,1707.89981054491,86.90044002729,1713.29469971402,84.668328783208,1768.92109953355,5.90525762287133,1768.10407276969,6.23281688271218,-2.23211124408201,0.327559259840855,0.0357288458092718,0.0319906278031544,78.4355119004958,2.55967050392287,1.14674862675833,1,0
41,84,1,71,71,0.999760001244239,1710.29665486246,85.4805887833037,1713.66802857568,85.1126780979178,1777.37416178709,10.2326327362727,1776.65657892188,10.3385602992257,-0.367910685385908,0.105927562952981,0.0392198082911109,0.0367565650381866,74.7741177986921,0.473838248338889,0.473838248338889,0,0
42,85,1,72,72,0.999785343707172,1711.03147142273,87.8991981642239,1714.20191700675,105.242348814853,1777.67370688617,11.7801430282776,1777.04655425586,11.8598553711358,17.3431506506291,0.0797123428582491,0.0389485737559394,0.0366611637903438,93.3824934437172,17.2634383077708,0.995403814193625,1,0
43,86,1,73,73,0.999979143159201,1716.05725249063,99.3040501772569,1715.30858420836,105.413784504,1784.39528276771,42.4447244789807,1783.65614845315,43.1907365156847,6.10973432674311,0.746012036703931,0.039822698326581,0.0398456376153074,62.2230479883153,5.36372229003918,0.877897794436243,1,0
44,87,0.999999999999999,74,74,0.999572799823307,1716.41298504369,138.044219314656,1716.83335858725,138.038059874344,1786.1323880182,19.0634848873019,1785.73528926008,19.1734963544449,-0.00615944031201821,0.110011467142989,0.0406192469889371,0.0401331499811525,118.864563519899,0.116170907455007,0.116170907455007,0,0
45,88,0.999999999999998,75,75,0.99999286439415,1716.49636552996,137.86484656837,1716.86166439,138.021798574846,1795.24395444297,249.719352994201,1795.23704938947,249.710759017323,0.15695200647599,-0.00859397687776209,0.0458769330913755,0.0456503786094575,111.688960442477,0.165545983353752,0.165545983353752,0,0
